Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2018-01-02,40.42681884765625,40.43620824884917,39.722764160494656,39.93398271524752,102223600
2018-01-03,40.4197883605957,40.96425916920155,40.356426001755686,40.49019456253724,118071600
2018-01-04,40.6075325012207,40.71079444172855,40.3845825374921,40.49253559819918,89738400
2018-01-05,41.069854736328125,41.156686997562645,40.61221992832476,40.70374688992543,94640000
2018-01-08,40.91731643676758,41.21301814104045,40.818745621002336,40.91731643676758,82271200
2018-01-09,40.91262435913086,41.08394335569417,40.69671465281637,40.964255330315616,86336000
2018-01-10,40.90324020385742,40.90558934530854,40.60049818035278,40.63804863348759,95839600
2018-01-11,41.13556671142578,41.18485211334439,40.950167226318456,40.97363356641674,74670800
2018-01-12,41.56035614013672,41.62372207810548,41.22240924564743,41.34679198028473,101672400
2018-01-16,41.3491325378418,42.10012349135835,41.33739757680099,41.750441705983256,118263600
2018-01-17,42.03205490112305,42.06725619356868,41.08627531334926,41.33973178097053,137547200
2018-01-18,42.069618225097656,42.26675628300171,41.83258774080623,42.095433710001295,124773600
2018-01-19,41.88187026977539,42.14471622089114,41.63545040010063,41.91707157358285,129700400
2018-01-22,41.53923416137695,41.72228812713289,41.445361618274205,41.609640359208,108434400
2018-01-23,41.54861831665039,42.111864295697394,41.49699092672039,41.60963869012665,130756400
2018-01-24,40.88680648803711,41.60963646144299,40.64742687023852,41.59790149940242,204420400
2018-01-25,40.15694427490234,41.05813367591024,40.02082656625922,40.95487171893902,166116000
2018-01-26,40.25081253051758,40.36580943959557,39.91052008574584,40.36580943959557,156572000
2018-01-29,39.41768646240234,39.93399264516992,39.208816996514216,39.93399264516992,202561600
2018-01-30,39.18533706665039,39.27920959191692,38.65260135419423,38.84739024607921,184192800
2018-01-31,39.293304443359375,39.53033856476868,39.075049131061,39.16188142765172,129915600
2018-02-01,39.37543869018555,39.57257317905928,39.13605905026289,39.23228073447791,188923200
2018-02-02,37.66693115234375,39.145446923123295,37.57305861302765,38.95769826348325,346375200
2018-02-05,36.72584915161133,38.46017079061584,36.6108522368327,37.33837701496789,290954000
2018-02-06,38.26067352294922,38.422606653896615,36.141469463609056,36.336258332646736,272975200
2018-02-07,37.44163513183594,38.34751917686184,37.33133650049833,38.27476741574191,206434400
2018-02-08,36.4113655090332,37.78427378389463,36.38320446331554,37.617645907713495,217562000
2018-02-09,36.856727600097656,37.20547638919081,35.40281840962682,37.012252020658266,282690400
2018-02-12,38.34126663208008,38.61932214150914,37.11592678638475,37.34921338840289,243278000
2018-02-13,38.72536849975586,38.82198249059951,38.09149154873951,38.16218480046921,130196800
2018-02-14,39.43935394287109,39.47941260422183,38.381324910071264,38.41902485300839,162579600
2018-02-15,40.763668060302734,40.78723007818858,39.82345617338796,40.00961157579968,204588800
2018-02-16,40.63169860839844,41.19488575094832,40.47617781139201,40.61520555830091,160704400
2018-02-20,40.49503326416016,41.06292710816683,40.39370544922957,40.54216089165014,135722000
2018-02-21,40.31124114990234,41.02994570454472,40.29709962274955,40.725969389511896,149886400
2018-02-22,40.64820098876953,40.98988079969852,40.46204559239559,40.483252486487366,123967600
2018-02-23,41.35512161254883,41.39046643209442,40.893262262045184,40.923896836056215,135249600
2018-02-26,42.17280960083008,42.27177871683173,41.52243958327284,41.55542928860672,152648800
2018-02-27,42.03614044189453,42.52863093958615,41.98194383481484,42.20344770149947,155712400
2018-02-28,41.97250747680664,42.56161185345442,41.95601442397654,42.24113892873372,151128400
2018-03-01,41.237300872802734,42.36366800327985,40.68590011264929,42.07147097696251,195208000
2018-03-02,41.52245330810547,41.54366021234237,40.63643762237484,40.71891371077531,153816000
2018-03-05,41.66616821289063,41.88295815110469,41.12419156955193,41.28678492211425,113605600
2018-03-06,41.63083267211914,42.00314711448065,41.50358769350333,41.92302977255187,95154000
2018-03-07,41.24438095092773,41.43760893869271,41.06529449044002,41.22317405342424,126814000
2018-03-08,41.694461822509766,41.73687562179282,41.2538127948956,41.35042320290987,95096400
2018-03-09,42.41080856323242,42.41552240582564,41.80049718711683,41.93481473396064,128740800
2018-03-12,42.82082748413086,42.978707056078726,42.46500966636254,42.48385784591914,128828400
2018-03-13,42.40843963623047,43.240254600571085,42.23642219145599,43.02581977748083,126774000
2018-03-14,42.04792022705078,42.53805556591924,41.899464753543086,42.49092792856055,117473600
2018-03-15,42.09740447998047,42.47207765994189,41.96073540547845,42.0620596496107,90975200
2018-03-16,41.94894790649414,42.20815168997699,41.85468904336658,42.09739977305709,157618800
2018-03-19,41.3079948425293,41.81933695097538,40.92154255987105,41.78399213069858,133787200
2018-03-20,41.29386138916016,41.66146194230275,41.22316814533864,41.29386138916016,78597600
2018-03-21,40.35836410522461,41.25851373335462,40.356005386501984,41.24673092656492,148219600
2018-03-22,39.7881088256836,40.69061351641359,39.72919839129295,40.05909538563753,165963200
2018-03-23,38.86674880981445,40.04024365734224,38.86674880981445,39.679712086140285,164115200
2018-03-26,40.71183013916016,40.78959235574448,39.22021728418757,39.60431452487765,150164800
2018-03-27,39.667945861816406,41.272666191803694,39.33333488572645,40.92627240477633,163690400
2018-03-28,39.22963333129883,40.06380705048987,38.92565708842549,39.41107846613421,166674000
2018-03-29,39.535980224609375,40.4714784418901,39.32861429364283,39.54304919083701,153594000
2018-04-02,39.276763916015625,39.80931655528173,38.755997678604295,39.26733982838251,150347200
2018-04-03,39.67970657348633,39.76453773113703,38.85260548309722,39.50297529468127,121112000
2018-04-04,40.438472747802734,40.53272799064838,38.82668436413568,38.85260509525929,138422000
